longitude,latitude,address,batch,classification,era,name,province,add_detail,era_start,era_replace,era_order
101.747146047,25.4457609015,云南省禄丰县,第三批,古遗址,地质时代,腊玛古猿化石地点,云南省,云南省禄丰县腊玛古猿化石地点,地质,地质时代,1
109.67711644100001,30.877506889499998,四川省巫山县,第四批,古遗址,更新世,龙骨坡遗址,四川省,四川省巫山县龙骨坡遗址,更新,地质时代,1
104.660812095,25.7887511717,贵州省盘县特区,第四批,古遗址,旧石器时代,大洞遗址,贵州省,贵州省盘县特区大洞遗址,旧石,旧石器时代,2
106.982873294,33.0697340172,陕西省南郑县,第六批,古遗址,旧石器时代至汉,龙岗寺遗址,陕西省,陕西省南郑县龙岗寺遗址,旧石,旧石器时代,2
110.73639936,32.864335066500004,湖北省郧县,第五批,古遗址,旧石器时代,学堂梁子遗址,湖北省,湖北省郧县学堂梁子遗址,旧石,旧石器时代,2
106.14050275700001,27.086384569499998,贵州省黔西县,第五批,古遗址,旧石器时代,黔西观音洞遗址,贵州省,贵州省黔西县黔西观音洞遗址,旧石,旧石器时代,2
101.91885227600001,25.678720665700002,云南省元谋县,第二批,古遗址,旧石器时代,元谋猿人遗址,云南省,云南省元谋县元谋猿人遗址,旧石,旧石器时代,2
109.501562115,34.1885940439,陕西省蓝田县,第二批,古遗址,旧石器时代,蓝田猿人遗址,陕西省,陕西省蓝田县蓝田猿人遗址,旧石,旧石器时代,2
107.936960092,29.9805866185,重庆市丰都县,第五批,古遗址,旧石器时代,高家镇遗址,重庆市,重庆市丰都县高家镇遗址,旧石,旧石器时代,2
115.93765214700001,39.6959925922,北京市房山县,第一批,古遗址,旧石器时代,周口店遗址,北京市,北京市房山县周口店遗址,旧石,旧石器时代,2
111.433016255,35.8433683935,山西省临汾县,第一批,古遗址,旧石器时代,丁村遗址,山西省,山西省临汾县丁村遗址,旧石,旧石器时代,2
107.19163711700001,23.614585367800004,广西壮族自治区百色市、田东县,第五批,古遗址,旧石器时代,百谷和高岭坡遗址,广西壮族自治区,广西壮族自治区百色市、田东县百谷和高岭坡遗址,旧石,旧石器时代,2
113.94362420600001,30.4895032729,湖北省荆州市,第四批,古遗址,旧石器时代,鸡公山遗址,湖北省,湖北省荆州市鸡公山遗址,旧石,旧石器时代,2
109.54722100299999,18.334082389200002,海南省三亚市,第五批,古遗址,旧石器时代,落笔洞遗址,海南省,海南省三亚市落笔洞遗址,旧石,旧石器时代,2
113.218708928,35.4745560937,山西省陵川县,第六批,古遗址,旧石器时代,塔水河遗址,山西省,山西省陵川县塔水河遗址,旧石,旧石器时代,2
118.106356745,31.0678646425,安徽省繁昌县,第六批,古遗址,旧石器时代,人字洞遗址,安徽省,安徽省繁昌县人字洞遗址,旧石,旧石器时代,2
115.79112618,41.2999560714,山西省阳高县、河北省阳原县,第四批,古遗址,旧石器时代,许家窑－侯家窑遗址,山西省,山西省阳高县、河北省阳原县许家窑－侯家窑遗址,旧石,旧石器时代,2
122.791200582,40.8403542475,辽宁省海城市,第五批,古遗址,旧石器时代,海城仙人洞遗址,辽宁省,辽宁省海城市海城仙人洞遗址,旧石,旧石器时代,2
118.134811397,36.2494389708,山东省沂源县,第六批,古遗址,旧石器时代,沂源猿人遗址,山东省,山东省沂源县沂源猿人遗址,旧石,旧石器时代,2
118.726961196,39.954061732,河北省迁安市,第六批,古遗址,旧石器时代,爪村遗址,河北省,河北省迁安市爪村遗址,旧石,旧石器时代,2
110.302808686,34.7056956527,山西省芮城县,第三批,古遗址,旧石器时代,西侯度遗址,山西省,山西省芮城县西侯度遗址,旧石,旧石器时代,2
122.454336438,40.5946462677,辽宁省营口县,第三批,古遗址,旧石器时代,金牛山遗址,辽宁省,辽宁省营口县金牛山遗址,旧石,旧石器时代,2
113.35180181,34.8061799375,河南省荥阳市,第六批,古遗址,旧石器时代,织机洞遗址,河南省,河南省荥阳市织机洞遗址,旧石,旧石器时代,2
106.155481265,37.3213231123,宁夏回族自治区,第三批,古遗址,旧石器时代,水洞沟遗址,宁夏回族自治区,宁夏回族自治区水洞沟遗址,旧石,旧石器时代,2
119.05201261799999,32.0628659279,江苏省南京市,第六批,古遗址,旧石器时代,南京人化石地点,江苏省,江苏省南京市南京人化石地点,旧石,旧石器时代,2
114.394395907,40.1386421202,河北省阳原县,第五批,古遗址,旧石器时代,泥河湾遗址群,河北省,河北省阳原县泥河湾遗址群,旧石,旧石器时代,2
109.93959921,30.5785759856,湖北省建始县,第六批,古遗址,旧石器时代,建始直立人遗址,湖北省,湖北省建始县建始直立人遗址,旧石,旧石器时代,2
110.27264281,34.1656843623,陕西省洛南县,第五批,古遗址,旧石器时代,花石浪遗址,陕西省,陕西省洛南县花石浪遗址,旧石,旧石器时代,2
110.01194954299999,34.7968403746,陕西省大荔县,第五批,古遗址,旧石器时代,甜水沟遗址,陕西省,陕西省大荔县甜水沟遗址,旧石,旧石器时代,2
110.58879592299999,36.0955940303,山西省吉县,第五批,古遗址,旧石器时代,柿子滩遗址,山西省,山西省吉县柿子滩遗址,旧石,旧石器时代,2
124.154941057,41.223408804099996,辽宁省本溪满族自治县,第六批,古遗址,旧石器时代,庙后山遗址,辽宁省,辽宁省本溪满族自治县庙后山遗址,旧石,旧石器时代,2
118.38266920000001,30.870207090799997,安徽省宣城市,第五批,古遗址,旧石器时代,陈山遗址,安徽省,安徽省宣城市陈山遗址,旧石,旧石器时代,2
108.88966323700001,38.6404751472,内蒙古自治区乌审旗,第五批,古遗址,旧石器时代,萨拉乌苏遗址,内蒙古自治区,内蒙古自治区乌审旗萨拉乌苏遗址,旧石,旧石器时代,2
118.21137720899999,31.890535844499997,安徽省和县,第三批,古遗址,旧石器时代,和县猿人遗址,安徽省,安徽省和县和县猿人遗址,旧石,旧石器时代,2
117.462155495,26.2742208752,福建省三明市,第五批,古遗址,旧石器时代,万寿岩遗址,福建省,福建省三明市万寿岩遗址,旧石,旧石器时代,2
105.72264458,26.288171411,贵州省普定县,第三批,古遗址,旧石器时代,穿洞遗址,贵州省,贵州省普定县穿洞遗址,旧石,旧石器时代,2
111.66035052,40.8283188731,内蒙古自治区呼和浩特市,第三批,古遗址,旧石器时代,大窑遗址,内蒙古自治区,内蒙古自治区呼和浩特市大窑遗址,旧石,旧石器时代,2
109.41844986,24.2853571319,广西壮族自治区柳州市,第六批,古遗址,旧石器至新石器时代,鲤鱼嘴遗址,广西壮族自治区,广西壮族自治区柳州市鲤鱼嘴遗址,旧石,旧石器时代,2
105.860857118,38.0571848688,宁夏回族自治区青铜峡市,第六批,古遗址,旧石器时代,鸽子山遗址,宁夏回族自治区,宁夏回族自治区青铜峡市鸽子山遗址,旧石,旧石器时代,2
109.43762189,24.219976138699998,广西壮族自治区柳州市,第六批,古遗址,旧石器至新石器时代,白莲洞遗址,广西壮族自治区,广西壮族自治区柳州市白莲洞遗址,旧石,旧石器时代,2
120.22898589100001,30.1477423216,浙江省杭州市,第六批,古遗址,新石器时代,跨湖桥遗址,浙江省,浙江省杭州市跨湖桥遗址,新石,新石器时代,3
117.28690406,34.935232332,山东省滕州市,第六批,古遗址,新石器时代,北辛遗址,山东省,山东省滕州市北辛遗址,新石,新石器时代,3
113.64964385,34.7566100641,河南省郑州市,第四批,古遗址,新石器时代,西山遗址,河南省,河南省郑州市西山遗址,新石,新石器时代,3
115.42134592,28.0025136135,江西省樟树市,第六批,古遗址,新石器时代,樊城堆遗址,江西省,江西省樟树市樊城堆遗址,新石,新石器时代,3
