classification,classification_en,era_en,era_order,number,number_pct
其他,others,Ming dynasty,18,6,75.0
其他,others,Qing dynasty,19,2,25.0
古墓葬,Ancient tomb,Bronze Age,4,10,4.93
古墓葬,Ancient tomb,Chinese People‘s Republic,21,1,0.49
古墓葬,Ancient tomb,Five Dynasties and Ten Kingdoms,15,13,6.4
古墓葬,Ancient tomb,Han dynasty,9,43,21.18
古墓葬,Ancient tomb,Jin dynasty,11,5,2.46
古墓葬,Ancient tomb,Ming dynasty,18,25,12.32
古墓葬,Ancient tomb,Neolithic,3,3,1.48
古墓葬,Ancient tomb,Qin dynasty,8,2,0.99
古墓葬,Ancient tomb,Qing dynasty,19,17,8.37
古墓葬,Ancient tomb,Shang dynasty,6,1,0.49
古墓葬,Ancient tomb,Song dynasty,16,16,7.88
古墓葬,Ancient tomb,Southern and Northern dynasties,12,10,4.93
古墓葬,Ancient tomb,Sui dynasty,13,2,0.99
古墓葬,Ancient tomb,Tang dynasty,14,18,8.87
古墓葬,Ancient tomb,Three Kingdoms,10,4,1.97
古墓葬,Ancient tomb,Xia dynasty,5,1,0.49
古墓葬,Ancient tomb,Yuan dynasty,17,7,3.45
古墓葬,Ancient tomb,Zhou dynasty,7,25,12.32
古建筑,Ancient architecture,Five Dynasties and Ten Kingdoms,15,40,3.65
古建筑,Ancient architecture,Han dynasty,9,16,1.46
古建筑,Ancient architecture,Ming dynasty,18,365,33.27
古建筑,Ancient architecture,Qin dynasty,8,2,0.18
古建筑,Ancient architecture,Qing dynasty,19,241,21.97
古建筑,Ancient architecture,Republic of China,20,4,0.36
古建筑,Ancient architecture,Song dynasty,16,214,19.51
古建筑,Ancient architecture,Southern and Northern dynasties,12,6,0.55
古建筑,Ancient architecture,Sui dynasty,13,4,0.36
古建筑,Ancient architecture,Tang dynasty,14,66,6.02
古建筑,Ancient architecture,Xia dynasty,5,2,0.18
古建筑,Ancient architecture,Yuan dynasty,17,131,11.94
古建筑,Ancient architecture,Zhou dynasty,7,6,0.55
古遗址,Ancient ruins,Bronze Age,4,10,1.98
古遗址,Ancient ruins,Five Dynasties and Ten Kingdoms,15,14,2.77
古遗址,Ancient ruins,Geological age,1,2,0.4
古遗址,Ancient ruins,Han dynasty,9,51,10.1
古遗址,Ancient ruins,Jin dynasty,11,6,1.19
古遗址,Ancient ruins,Ming dynasty,18,13,2.57
古遗址,Ancient ruins,Neolithic,3,144,28.51
古遗址,Ancient ruins,Paleolithic age,2,38,7.52
古遗址,Ancient ruins,Qin dynasty,8,8,1.58
古遗址,Ancient ruins,Qing dynasty,19,2,0.4
古遗址,Ancient ruins,Shang dynasty,6,17,3.37
古遗址,Ancient ruins,Song dynasty,16,39,7.72
古遗址,Ancient ruins,Southern and Northern dynasties,12,21,4.16
古遗址,Ancient ruins,Sui dynasty,13,11,2.18
古遗址,Ancient ruins,Tang dynasty,14,39,7.72
古遗址,Ancient ruins,Xia dynasty,5,2,0.4
古遗址,Ancient ruins,Yuan dynasty,17,16,3.17
古遗址,Ancient ruins,Zhou dynasty,7,72,14.26
石窟寺及石刻,Cave temple and stone carving,Five Dynasties and Ten Kingdoms,15,5,3.07
石窟寺及石刻,Cave temple and stone carving,Han dynasty,9,5,3.07
石窟寺及石刻,Cave temple and stone carving,Jin dynasty,11,5,3.07
石窟寺及石刻,Cave temple and stone carving,Ming dynasty,18,9,5.52
石窟寺及石刻,Cave temple and stone carving,Neolithic,3,3,1.84
石窟寺及石刻,Cave temple and stone carving,Qing dynasty,19,1,0.61
石窟寺及石刻,Cave temple and stone carving,Song dynasty,16,28,17.18
石窟寺及石刻,Cave temple and stone carving,Southern and Northern dynasties,12,39,23.93
石窟寺及石刻,Cave temple and stone carving,Sui dynasty,13,6,3.68
石窟寺及石刻,Cave temple and stone carving,Tang dynasty,14,49,30.06
石窟寺及石刻,Cave temple and stone carving,Three Kingdoms,10,2,1.23
石窟寺及石刻,Cave temple and stone carving,Yuan dynasty,17,7,4.29
石窟寺及石刻,Cave temple and stone carving,Zhou dynasty,7,4,2.45
近现代重要史迹及代表性建筑,Historical buildings of modern times,Chinese People‘s Republic,21,22,5.8
近现代重要史迹及代表性建筑,Historical buildings of modern times,Ming dynasty,18,1,0.26
近现代重要史迹及代表性建筑,Historical buildings of modern times,Qing dynasty,19,131,34.56
近现代重要史迹及代表性建筑,Historical buildings of modern times,Republic of China,20,225,59.37
