era_order,classification,values
1,古遗址,2
2,古遗址,38
3,古遗址,144
3,古墓葬,3
3,石窟寺及石刻,3
4,古墓葬,10
4,古遗址,10
5,古建筑,2
5,古遗址,2
5,古墓葬,1
6,古遗址,17
6,古墓葬,1
7,古遗址,72
7,古墓葬,25
7,古建筑,6
7,石窟寺及石刻,4
8,古遗址,8
8,古墓葬,2
8,古建筑,2
9,古遗址,51
9,古墓葬,43
9,古建筑,16
9,石窟寺及石刻,5
10,古墓葬,4
10,石窟寺及石刻,2
11,古遗址,6
11,古墓葬,5
11,石窟寺及石刻,5
12,石窟寺及石刻,39
12,古遗址,21
12,古墓葬,10
12,古建筑,6
13,古遗址,11
13,石窟寺及石刻,6
13,古建筑,4
13,古墓葬,2
14,古建筑,66
14,石窟寺及石刻,49
14,古遗址,39
14,古墓葬,18
15,古建筑,40
15,古遗址,14
15,古墓葬,13
15,石窟寺及石刻,5
16,古建筑,214
16,古遗址,39
16,石窟寺及石刻,28
16,古墓葬,16
17,古建筑,131
17,古遗址,16
17,古墓葬,7
17,石窟寺及石刻,7
18,古建筑,365
18,古墓葬,25
18,古遗址,13
18,石窟寺及石刻,9
18,其他,6
18,近现代重要史迹及代表性建筑,1
19,古建筑,241
19,近现代重要史迹及代表性建筑,131
19,古墓葬,17
19,其他,2
19,古遗址,2
19,石窟寺及石刻,1
20,近现代重要史迹及代表性建筑,225
20,古建筑,4
21,近现代重要史迹及代表性建筑,22
21,古墓葬,1
