number,number_pct,era_order,classification_en,classification,era_en,era_year
0.0,0.0,5,other,其他,Xia dynasty,-1835
0.0,0.0,5,Historical buildings of modern times,近现代重要史迹及代表性建筑,Xia dynasty,-1835
1.0,0.4926108374384237,5,Ancient tomb,古墓葬,Xia dynasty,-1835
0.0,0.0,5,Cave temple and stone carving,石窟寺及石刻,Xia dynasty,-1835
2.0,0.3960396039603961,5,Ancient ruins,古遗址,Xia dynasty,-1835
2.0,0.1823154056517776,5,Ancient architecture,古建筑,Xia dynasty,-1835
0.0,0.0,6,other,其他,Shang dynasty,-1333
17.0,3.3663366336633667,6,Ancient ruins,古遗址,Shang dynasty,-1333
0.0,0.0,6,Cave temple and stone carving,石窟寺及石刻,Shang dynasty,-1333
1.0,0.4926108374384237,6,Ancient tomb,古墓葬,Shang dynasty,-1333
0.0,0.0,6,Ancient architecture,古建筑,Shang dynasty,-1333
0.0,0.0,6,Historical buildings of modern times,近现代重要史迹及代表性建筑,Shang dynasty,-1333
6.0,0.5469462169553327,7,Ancient architecture,古建筑,Zhou dynasty,-651
25.0,12.31527093596059,7,Ancient tomb,古墓葬,Zhou dynasty,-651
0.0,0.0,7,other,其他,Zhou dynasty,-651
72.0,14.257425742574256,7,Ancient ruins,古遗址,Zhou dynasty,-651
0.0,0.0,7,Historical buildings of modern times,近现代重要史迹及代表性建筑,Zhou dynasty,-651
4.0,2.4539877300613497,7,Cave temple and stone carving,石窟寺及石刻,Zhou dynasty,-651
0.0,0.0,8,Cave temple and stone carving,石窟寺及石刻,Qin dynasty,214
0.0,0.0,8,Historical buildings of modern times,近现代重要史迹及代表性建筑,Qin dynasty,214
0.0,0.0,8,other,其他,Qin dynasty,214
8.0,1.5841584158415842,8,Ancient ruins,古遗址,Qin dynasty,214
2.0,0.9852216748768472,8,Ancient tomb,古墓葬,Qin dynasty,214
2.0,0.1823154056517776,8,Ancient architecture,古建筑,Qin dynasty,214
43.0,21.182266009852214,9,Ancient tomb,古墓葬,Han dynasty,7
0.0,0.0,9,Historical buildings of modern times,近现代重要史迹及代表性建筑,Han dynasty,7
5.0,3.0674846625766867,9,Cave temple and stone carving,石窟寺及石刻,Han dynasty,7
51.0,10.099009900990099,9,Ancient ruins,古遗址,Han dynasty,7
0.0,0.0,9,other,其他,Han dynasty,7
16.0,1.4585232452142205,9,Ancient architecture,古建筑,Han dynasty,7
0.0,0.0,10,other,其他,Three Kingdoms,250
4.0,1.9704433497536944,10,Ancient tomb,古墓葬,Three Kingdoms,250
2.0,1.2269938650306749,10,Cave temple and stone carving,石窟寺及石刻,Three Kingdoms,250
0.0,0.0,10,Ancient architecture,古建筑,Three Kingdoms,250
0.0,0.0,10,Historical buildings of modern times,近现代重要史迹及代表性建筑,Three Kingdoms,250
0.0,0.0,10,Ancient ruins,古遗址,Three Kingdoms,250
0.0,0.0,11,other,其他,Jin dynasty,343
5.0,3.0674846625766867,11,Cave temple and stone carving,石窟寺及石刻,Jin dynasty,343
0.0,0.0,11,Ancient architecture,古建筑,Jin dynasty,343
0.0,0.0,11,Historical buildings of modern times,近现代重要史迹及代表性建筑,Jin dynasty,343
6.0,1.188118811881188,11,Ancient ruins,古遗址,Jin dynasty,343
5.0,2.4630541871921183,11,Ancient tomb,古墓葬,Jin dynasty,343
39.0,23.926380368098158,12,Cave temple and stone carving,石窟寺及石刻,Southern and Northern dynasties,505
6.0,0.5469462169553327,12,Ancient architecture,古建筑,Southern and Northern dynasties,505
10.0,4.9261083743842375,12,Ancient tomb,古墓葬,Southern and Northern dynasties,505
21.0,4.158415841584159,12,Ancient ruins,古遗址,Southern and Northern dynasties,505
0.0,0.0,12,other,其他,Southern and Northern dynasties,505
0.0,0.0,12,Historical buildings of modern times,近现代重要史迹及代表性建筑,Southern and Northern dynasties,505
2.0,0.9852216748768472,13,Ancient tomb,古墓葬,Sui dynasty,600
0.0,0.0,13,Historical buildings of modern times,近现代重要史迹及代表性建筑,Sui dynasty,600
0.0,0.0,13,other,其他,Sui dynasty,600
4.0,0.3646308113035551,13,Ancient architecture,古建筑,Sui dynasty,600
11.0,2.1782178217821784,13,Ancient ruins,古遗址,Sui dynasty,600
6.0,3.6809815950920246,13,Cave temple and stone carving,石窟寺及石刻,Sui dynasty,600
18.0,8.866995073891626,14,Ancient tomb,古墓葬,Tang dynasty,763
0.0,0.0,14,Historical buildings of modern times,近现代重要史迹及代表性建筑,Tang dynasty,763
0.0,0.0,14,other,其他,Tang dynasty,763
49.0,30.061349693251532,14,Cave temple and stone carving,石窟寺及石刻,Tang dynasty,763
39.0,7.722772277227722,14,Ancient ruins,古遗址,Tang dynasty,763
66.0,6.01640838650866,14,Ancient architecture,古建筑,Tang dynasty,763
0.0,0.0,15,Historical buildings of modern times,近现代重要史迹及代表性建筑,Five Dynasties and Ten Kingdoms,934
40.0,3.6463081130355515,15,Ancient architecture,古建筑,Five Dynasties and Ten Kingdoms,934
13.0,6.403940886699507,15,Ancient tomb,古墓葬,Five Dynasties and Ten Kingdoms,934
0.0,0.0,15,other,其他,Five Dynasties and Ten Kingdoms,934
5.0,3.0674846625766867,15,Cave temple and stone carving,石窟寺及石刻,Five Dynasties and Ten Kingdoms,934
14.0,2.7722772277227725,15,Ancient ruins,古遗址,Five Dynasties and Ten Kingdoms,934
